index,Brand,Model,Type,Gender,Size,Color,Material,Price (USD)
978,Reebok,Classic Nylon,Casual,Men,US 10.5,Collegiate Navy,Nylon/Suede,$65.00 
979,Converse,Jack Purcell,Casual,Women,US 8,Black/White,Canvas,$65.00 
980,Puma,Suede Classic,Lifestyle,Men,US 8.5,Black/White,Suede,$65.00 
981,Vans,Era,Skate,Women,US 6,Black/White,Canvas,$50.00 
982,New Balance,Fresh Foam Hierro v6,Trail,Men,US 10,Black/Red,Mesh/Synthetic,$135.00 
983,Asics,Gel-Excite 8,Running,Women,US 9,Black,Mesh,$75.00 
984,Fila,Mindblower,Fashion,Men,US 12,White/Navy/Red,Synthetic/Leather,$65.00 
985,Nike,Air Force 1,Casual,Men,US 9,White,Leather,$90.00 
986,Adidas,NMD_R1,Lifestyle,Women,US 8,Black,Primeknit,$140.00 
987,Reebok,Nano X,Crossfit,Men,US 10.5,Black,Mesh,$130.00 
988,Converse,Jack Purcell,Casual,Men,US 8.5,White,Canvas,$70.00 
989,Puma,Calibrate Runner,Running,Women,US 7,Grey,Mesh,$80.00 
990,Vans,Sk8-Hi,Skate,Men,US 10.5,Black/White,Canvas/Suede,$70.00 
991,New Balance,FuelCell Rebel v2,Running,Women,US 9,White/Green,Mesh,$130.00 
992,Asics,Gel-Quantum 360 6,Running,Men,US 9.5,Blue,Mesh,$150.00 
993,Fila,Mindblower,Fashion,Women,US 8.5,Pink,Leather,$80.00 
994,Skechers,Go Walk 5,Walking,Men,US 11,Black,Mesh,$65.00 
995,Nike,React Infinity Run Flyknit 2,Running,Women,US 8.5,Pink,Flyknit,$160.00 
996,Adidas,Ultraboost DNA,Running,Men,US 8.5,White,Primeknit,$180.00 
997,Reebok,Aztrek 96,Casual,Women,US 7.5,Yellow,Leather/Synthetic,$90.00 
998,Converse,Chuck 70,Casual,Men,US 7,Red,Canvas,$85.00 
999,Puma,Mirage Sport,Lifestyle,Women,US 6,Pink,Leather,$90.00 
1000,Vans,Era,Skate,Men,US 9.5,Black/White,Canvas,$50.00 
1001,New Balance,Fresh Foam 880v11,Running,Women,US 10,Grey,Mesh,$130.00 
1002,Asics,Gel-Kayano Lite,Running,Men,US 9.5,Black,Mesh,$160.00 
1003,Fila,Venom 94,Fashion,Women,US 7.5,White,Leather,$70.00 
1004,Skechers,Summits,Training,Men,US 8,Grey,Mesh,$55.00 
1005,Nike,Air Max 97,Running,Women,US 7.5,Silver,Leather,$170.00 
